Brand,Model,Type,Weight,Section,Details
SAPIM,Leader,Around,6.8g,2,"
Technical specs
Weight: 14G 2,0 mm (64 pcs x 260 mm lg) 431 g
Quality: Stainless
Strength on middle section: 1080 - 1180 N/mm2

Dimensions
Length: 145 - 310 mm
Diameter:

15G - 1.8 mm
14G - 2.0 mm
13G - 2.3 mm
12G - 2.6 mm
Options
Rod (without bend) or different bend
Self locking system
Black (oxidised or chromed)
Anti-rotation part
Oval head
2-sides threading
TCS"
SAPIM,Race,Double Butted,5.7g,2.0-1.8-2.0,"
Technical specs
Weight: 14G (64 pcs x 260 mm lg) 363 g
Quality: Stainless
Strength on middle section: 1300 N/mm2

Dimensions
Length: 135-310 mm
Diameter: 14G 2.0 - 1.8 - 2.0 mm

Options
Rod (without bend) or different bend
Self locking system
Black (oxidised or chromed)
Anti-rotation part
Oval head
2-sides threading
TCS"
SAPIM,D-light,Double Butted,4.8g,2.0-1.65-2.0,"Designed for top quality MTB wheels with:
Maximum strength
Minimum weight
Disc brake approval
Technical specs
Weight: (64 pcs x 260 mm lg) 307 g
Quality: Stainless
Strength on middle section: 1370 N/mm2

Dimensions
Length: 135-310 mm
Diamter: 2.0 - 1.65 - 2.0 mm

Options
Rod (without bend) or different bend
Self locking system
Black (oxidised or chromed)
Anti-rotation part
Oval head
2-sides threading"
SAPIM,Cx-sprint,Aero,5.2g,2.0-2.25*1.25-2.0,"Technical specs
Diameter: 2.0 - (2.25 x 1.25) - 2.0
Length: 145-310 mm
Weight: 334 g (64 x 260 mm)
Strength on middle section: 1430 N/mm2"
SAPIM,Cx-ray,Aero,4.4g,2.0-2.0*0.95-2.0,"Technical specs
Weight: (64 pcs x 260 mm lg) 279 g
Quality: AISI 302
Strength on middle section: 1600 N/mm2
Dimensions
Length: 135-310 mm
Diameter: 2.0 - (0.9x2.2) - 2.0 mm
Elliptic aero part
Options
Rod (without bend)
Self locking system
Black (oxidised or chromed)
Anti-rotation part
Oval head
2-sides threading
TCS"
SAPIM,Super-cx,Aero,3.6g,1.8-1.8*0.9-1.8,"The Super CX is the lightest stainless steel spoke ever developed for extra light wheels. A new class of stainless steel allows Sapim to further reduce the spoke dimensions while increasing and improving fatigue strength. The aerodynamic shape allows the Super CX to be secured against rotation during assembly.
Features of the Sapim Super CX-Ray spokes.
No more additional hub hole design; hub manufacturer's warranty is not affected.
Aerodynamic, elliptical spoke.
Made of high-strength, fatigue-resistant 18/8 stainless steel that meets Sapim's quality standards.
Special alloy treatment and sophisticated production.
Diameter: 1,8 - (2,0-0,9) - 1,8 mm
Length: 145-310 mm
Weight: 242.06 g (64 x 260 mm)
Strength in the middle part: 1430 N/mm2"
DT Swiss,Competition Race,Double Butted,5.7g,2.0-1.8-2.0,Coming Soon
YT,Coming Soon,Aero,Coming Soon,Coming Soon,Coming Soon
TANZANITE,Carbon,Aero,Coming Soon,Coming Soon,Coming Soon
